,sqfeet,beds,baths,income,density,ROI,rental,sale
0,2444.702176186319,3,1,19809.464063653162,18807.30313307754,27.894488515398287,2846.42,79399.43
1,2444.68406625585,2,1,19809.034013891673,18806.47999722453,27.894488515398287,2345.16,171519.61
2,2444.6979404321055,3,1,19807.559713064693,18806.537479913357,27.894488515398287,2846.42,79399.43
3,2444.733180318154,3,1,19809.027653770412,18807.342481945678,27.894488515398287,2846.42,79399.43
4,2444.7023443615312,2,1,19809.017160693013,18807.30369401583,27.894488515398287,2345.16,171519.61
5,2444.7022271500987,3,1,19809.09370968063,18789.733071083796,27.894488515398287,2846.42,79399.43
6,2444.69714061565,3,1,19809.022408411758,18807.331266230074,27.894488515398287,2846.42,79399.43
7,2444.702279649736,3,1,19838.630947479243,18806.23270601791,27.894488515398287,2846.42,79399.43
8,2444.7022276412767,2,1,19809.017160693013,18807.30369401583,27.894488515398287,2345.16,171519.61
9,2444.7019445897186,2,1,19809.01730038599,18807.340566365398,27.894488515398287,2345.16,171519.61
10,2444.728728589234,2,1,19809.312351407098,18806.987025042465,27.894488515398287,2345.16,171519.61
11,2444.68406625585,2,1,19809.034013891673,18806.47999722453,27.894488515398287,2345.16,171519.61
12,2447.574792828188,2,1,19809.017160693013,18807.30100206617,27.894488515398287,2345.16,171519.61
13,2444.728728589234,2,1,19809.312351407098,18807.29694675383,27.894488515398287,2345.16,171519.61
14,2444.6891728813857,3,1,19851.986817766636,18806.963000712927,27.894488515398287,2846.42,79399.43
15,2444.70221951071,3,1,19809.465797160992,18805.9747833654,27.894488515398287,2846.42,79399.43
16,2444.702279649736,3,1,19838.630947479243,18806.23270601791,27.894488515398287,2846.42,79399.43
17,2444.702213764255,3,1,19809.031536771006,18804.384953677934,27.894488515398287,2846.42,79399.43
18,2444.702218380226,2,1,19809.027750618978,18807.33390500486,27.894488515398287,2345.16,171519.61
19,2444.723520885863,2,1,20126.71135946471,18807.335595959306,27.894488515398287,2345.16,171519.61
20,2444.704178023788,3,1,19909.378725202496,18806.42272569107,27.894488515398287,2846.42,79399.43
21,2444.7021541931917,2,1,19809.033912459232,18806.478815984286,27.894488515398287,2345.16,171519.61
22,2444.68406625585,2,1,19809.034013891673,18806.085393789966,27.894488515398287,2345.16,171519.61
23,2444.704139680559,2,1,20127.37124144712,18806.08930184834,27.894488515398287,2345.16,171519.61
24,2444.6827728847525,2,1,19805.237169214593,18806.986967173263,27.894488515398287,2345.16,171519.61
25,2444.698193260901,2,1,19809.836634298375,18807.19100075675,27.894488515398287,2345.16,171519.61
26,2444.7022269505915,2,1,19809.04064398945,18806.40754734577,27.894488515398287,2345.16,171519.61
27,2444.7278423152816,2,1,19810.594028668904,18806.983829013065,27.894488515398287,2345.16,171519.61
28,2444.702218380226,3,1,19809.035416923354,18807.34085317253,27.894488515398287,2846.42,79399.43
29,2444.702218691613,3,1,19835.527064868304,18807.339836171122,27.894488515398287,2846.42,79399.43
30,2444.768668926936,2,1,19809.48113666558,18806.486416093452,27.894488515398287,2345.16,171519.61
31,2444.702218380226,2,1,19809.027653770412,18807.328870841364,27.894488515398287,2345.16,171519.61
32,2444.702218380226,3,1,19809.027653770412,18807.341067919002,27.894488515398287,2846.42,79399.43
33,2444.69714061565,2,1,19809.055884730624,18806.486416093452,27.894488515398287,2345.16,171519.61
34,2444.6963974569417,3,1,19809.46538953283,18807.283563172437,27.894488515398287,2846.42,79399.43
35,2444.739001241439,3,1,19809.027653770412,18807.342481945678,27.894488515398287,2846.42,79399.43
36,2444.702218380226,2,1,19809.46538953283,18807.28377114726,27.894488515398287,2345.16,171519.61
37,2444.702218380226,2,1,19809.482806293185,18807.34044167532,27.894488515398287,2345.16,171519.61
38,2444.7021541931917,2,1,19809.027569097543,18795.798200164325,27.894488515398287,2345.16,171519.61
39,2444.704178023788,2,1,19905.152570301878,18806.97535169412,27.894488515398287,2345.16,171519.61
