,sqfeet,beds,baths,income,density,rental,sale,TBE,city
0,1673.153490394167,1,1,19856.068139903397,17543.6228323377,3794.404,354974.945,93.5522271745444,"Los Angeles, CA"
1,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
2,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
3,557.4321673061964,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
4,557.4321673061964,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
5,557.4321673061964,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
6,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
7,557.4321673061964,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
8,576.4483307145175,2,1,30829.878980956917,6424.022167062628,828.5729448621554,45210.0,54.563693251559535,"Covington, KY"
9,557.4321673061964,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
10,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
11,557.5485172916842,2,1,30829.878980956917,6418.308271668076,868.639,45535.0,52.42108632009385,"Covington, KY"
12,577.0919512973002,2,1,30829.878980956917,6479.176594691937,831.1329448621553,45210.0,54.3956298200863,"Covington, KY"
13,577.2083012827878,2,1,30829.878980956917,6479.176594691937,831.1329448621553,45210.0,54.3956298200863,"Covington, KY"
14,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
15,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
16,577.2083012827878,2,1,30829.878980956917,6479.176594691937,831.1329448621553,45210.0,54.3956298200863,"Covington, KY"
17,558.1921378744668,2,1,30829.878980956917,6480.706087586333,869.679,45535.0,52.35839890350348,"Covington, KY"
18,558.2224216129825,2,1,30829.878980956917,6480.706087586333,869.679,45535.0,52.35839890350348,"Covington, KY"
19,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
20,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
21,558.1921378744668,2,1,30829.878980956917,6480.706087586333,869.679,45535.0,52.35839890350348,"Covington, KY"
22,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
23,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
24,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
25,557.5560401375523,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
26,557.5485172916842,2,1,30829.878980956917,6486.083440890609,869.679,45535.0,52.35839890350348,"Covington, KY"
27,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
28,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
29,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
30,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
31,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
32,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
33,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
34,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
35,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
36,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
37,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
38,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
39,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
40,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
41,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
42,557.5485172916842,2,1,30829.878980956917,6424.916313809396,868.739,45535.0,52.415052161811545,"Covington, KY"
43,557.5485172916842,2,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
44,557.5485172916842,1,1,30829.878980956917,6425.551659957024,868.739,45535.0,52.415052161811545,"Covington, KY"
45,557.5485172916842,2,1,30829.878980956917,6424.916313809396,868.739,45535.0,52.415052161811545,"Covington, KY"
46,596.1593694235789,2,1,30829.878980956917,6533.028254368203,861.7358210180624,45185.0,52.43486332808823,"Covington, KY"
47,596.1593694235789,2,1,30829.878980956917,6425.551659957024,862.2954761904762,45185.0,52.400831556744585,"Covington, KY"
