,sqfeet,beds,baths,income,density,rental,sale
0,2915.964214042128,1,1,171802.85456231967,17304.359406234544,8783.96,2079526.7
1,392.89850728354713,1,1,11368.0,20035.09440767184,1325.8933333333334,59677.0
2,948.1476418761661,2,1,23270.293545697656,79348.99083048906,3755.7459523809534,206824.99
3,4551.8151845512375,4,4,11368.0,9625.276511512235,7178.45,286254.88
4,2120.4354426662903,1,1,173689.49078490635,14027.579066218894,8486.2,788457.2133333333
5,2121.314037570648,1,1,170537.06745535828,10481.349353902724,8220.576666666666,504987.0
6,2276.15863512536,1,1,160353.76593466147,14338.102738491054,8531.86,1325512.0466666666
7,748.3724852350906,2,1,14533.354971042543,87874.72486763542,2604.486333333333,78466.0
8,4522.803467339712,4,4,26502.05957657579,10953.986058175533,7301.85,301095.0
9,2840.4869824062457,2,2,195248.19849506364,15355.417943457775,8663.71,1862315.71
10,2028.615633683513,1,1,162464.0728063038,16872.006508016006,8614.34,1600922.0466666669
11,529.2165828250959,1,1,11368.0,22741.570017770908,1514.71,68567.0
12,819.647701851922,2,1,11368.0,83025.90722934424,3376.02,78840.0
13,3313.9941206768626,1,1,171573.25664171187,13054.671684031508,8570.59,1431207.7
14,3184.3939138029227,1,1,171126.71374257476,17036.015511843732,8778.96,2015526.66
15,911.9968068631449,2,1,11368.0,85356.0881336967,3550.8026190476203,135540.0
16,3169.259813515643,1,1,175048.89554405896,17695.517369042318,8778.96,2015526.66
17,2933.123986175263,1,1,173732.53262406227,17149.293994859552,8783.96,2079526.7
