,sqfeet,beds,baths,income,density,rental,sale,ROI,city
0,573.4609019188879,2,1,12543.611465117312,20850.29628979057,1685.4669230769232,49080.0,29.11952725266269,"Austin, TX"
1,931.568551074413,2,1,131283.0343941774,59633.74930663519,3912.13,860298.789328525,219.90547076107515,"Bronx, NY"
2,884.0615921393177,1,1,149971.0084716634,15540.064310435664,3668.76,497302.6593206578,135.55061092049024,"Austin, TX"
3,936.7493669004936,1,1,125809.28611681552,73174.47742777987,3674.31,699202.7575103431,190.29498259818664,"Bronx, NY"
4,949.2660210226608,1,1,17779.80253632491,41338.10351341384,3069.4312857142863,286129.96,93.2192101291542,"Bronx, NY"
5,1041.6444544172737,3,1,20496.509546102126,18680.64263340692,2298.27,70864.53499999999,30.8338598162966,"Austin, TX"
6,875.5283552089721,2,1,167219.91196191765,6981.49243263969,3037.730833333333,253299.6657509157,83.38449969675798,"Knoxville, TN"
7,1041.6444544172737,3,1,17922.522419235487,18680.64263340692,2609.8,76704.99833333334,29.3911404449894,"Austin, TX"
8,884.0625589389869,2,1,149387.72306955062,18951.41129020809,3340.624238095238,469173.835148289,140.4449592977279,"Austin, TX"
9,495.5075676438836,3,1,151672.6645110591,59071.42226333154,3323.976666666667,299982.1373579411,90.24796725145715,"Bronx, NY"
10,949.9333362344612,1,1,12986.009152560777,19781.276275071064,2846.062142857143,120907.0,42.48220661781554,"Austin, TX"
11,1041.6444544172737,2,1,22986.649165616876,18680.64263340692,1883.0525,67470.08499999999,35.83016671069978,"Austin, TX"
12,884.389066392505,2,1,150205.0661925883,11353.269361837572,3363.175,489817.09250038135,145.6412742424588,"Knoxville, TN"
13,949.9333362344612,1,1,17779.80253632491,19781.276275071064,3036.917142857143,174704.0,57.52675880898016,"Austin, TX"
14,876.7659167968463,2,1,168529.16899905293,11479.565311775255,3368.395,490303.09250038135,145.55985640056505,"Knoxville, TN"
15,1013.3314240422508,1,2,17779.80253632491,18201.13721638452,3014.8783333333336,164344.0,54.5109891112245,"Austin, TX"
16,949.9333362344612,1,1,16702.93163699984,19781.276275071064,2963.1621428571434,125568.0,42.3763513254542,"Austin, TX"
17,492.092089556826,1,1,166226.35010743656,57895.70816156526,3267.2533333333336,299282.1373579411,91.60053011641004,"Bronx, NY"
18,938.0495425901172,2,1,128690.37002124231,73040.68785528657,3819.46,757558.3575103431,198.3417439926961,"Bronx, NY"
19,931.5037185821018,1,1,129680.22621090645,71758.71358992507,3879.39,804651.157510343,207.41692830840492,"Bronx, NY"
20,543.1271988674226,2,1,12742.139765307324,19636.42815235446,1850.821666666667,58315.0,31.50762769328577,"Austin, TX"
21,936.0015225524922,2,1,130552.72724461358,79798.81173263544,3761.86,741344.0075103431,197.06847344407905,"Bronx, NY"
22,938.0495425901172,3,1,125823.94605380748,73040.68785528657,3676.22,701347.207510343,190.7794439697143,"Bronx, NY"
23,931.5037185821018,2,1,129893.64302412885,71758.71358992507,3882.18,806795.6075103431,207.82024726064816,"Bronx, NY"
24,931.542619269218,1,1,129868.20476463354,63905.68474863248,3894.99,844559.3393285249,216.83222276014183,"Bronx, NY"
25,931.5328700768208,3,1,131314.18913333263,80069.69689363732,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
26,936.6903516963432,2,1,130553.21013649652,73181.38220559972,3816.67,755413.907510343,197.9248684089384,"Bronx, NY"
27,931.5328700768208,3,1,131258.85137825238,64083.45697676078,3897.78,846703.789328525,217.22718812465683,"Bronx, NY"
28,936.2307175694112,3,1,128389.34774313428,79706.34808209601,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
29,931.5097917711884,2,1,130552.72724461358,79798.81173263544,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
30,876.7659167968463,2,1,166955.28827801676,11479.565311775255,3368.395,490303.09250038135,145.55985640056505,"Knoxville, TN"
31,936.137864460153,2,1,130947.8984641886,79769.76853491904,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
32,931.5037185821018,2,1,131312.4806408264,71758.71358992507,3882.18,806795.6075103431,207.82024726064816,"Bronx, NY"
33,931.5690161587492,3,1,131350.53000910525,79902.89426632244,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
34,931.5690161587492,3,1,131350.53000910525,79902.89426632244,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
35,931.5690161587492,3,1,131350.53000910525,79902.89426632244,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
36,496.0372639515226,3,1,151672.6645110591,59378.98458842384,3323.976666666667,299982.1373579411,90.24796725145715,"Bronx, NY"
37,931.5049062032792,1,1,130989.963359103,71966.06893015781,3879.39,804651.157510343,207.41692830840492,"Bronx, NY"
38,876.7659167968463,2,1,165888.80220929644,6981.49243263969,3037.730833333333,253299.6657509157,83.38449969675798,"Knoxville, TN"
39,935.7219727292724,2,1,130552.72724461358,79798.81173263544,3761.86,741344.0075103431,197.06847344407905,"Bronx, NY"
40,931.5037185821018,2,1,131297.0999075314,71758.71358992507,3882.18,806795.6075103431,207.82024726064816,"Bronx, NY"
41,931.5404528396912,2,1,128755.48888662337,79833.63734155911,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
42,931.5328700768208,3,1,131314.18913333263,79557.52881647997,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
43,876.7659167968463,2,1,165551.8313946557,11479.565311775255,3368.395,490303.09250038135,145.55985640056505,"Knoxville, TN"
44,876.7659167968463,3,1,165888.80220929644,6981.49243263969,3037.730833333333,253299.6657509157,83.38449969675798,"Knoxville, TN"
45,884.1349571795251,2,1,149387.72306955062,18951.41129020809,3340.624238095238,469173.835148289,140.4449592977279,"Austin, TX"
46,495.5075676438836,2,1,151565.35021844695,59378.98458842384,3323.976666666667,299982.1373579411,90.24796725145715,"Bronx, NY"
47,931.5049062032792,1,1,130989.963359103,71949.0275975547,3879.39,804651.157510343,207.41692830840492,"Bronx, NY"
48,936.137864460153,2,1,131309.23403295895,79775.2848506087,3761.86,741344.0075103431,197.06847344407905,"Bronx, NY"
49,931.5034191693808,2,1,131295.4028126207,71758.71358992507,3882.18,806795.6075103431,207.82024726064816,"Bronx, NY"
50,936.137864460153,2,1,130964.97629239428,79769.76853491904,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
51,931.5328700768208,3,1,131258.43454125928,64351.85534044434,3897.78,846703.789328525,217.22718812465683,"Bronx, NY"
52,931.5690161587492,3,1,131350.53000910525,79902.89426632244,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
53,935.9701274255544,2,1,131283.0343941774,79496.4761603709,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
54,949.2660210226608,1,1,13870.92464528129,19781.276275071064,2846.062142857143,120907.0,42.48220661781554,"Austin, TX"
55,931.5404528396912,3,1,131286.96924814206,79833.26103379007,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
56,931.5690161587492,3,1,131350.53000910525,79902.89426632244,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
57,936.7493669004936,2,1,128826.57124776236,73046.09165890169,3816.67,755413.907510343,197.9248684089384,"Bronx, NY"
58,949.36628385584,1,1,13870.92464528129,19781.276275071064,2846.062142857143,120907.0,42.48220661781554,"Austin, TX"
59,931.5404528396912,3,1,131286.96924814206,79833.26103379007,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
60,573.4609019188879,2,1,12543.611465117312,20850.29628979057,1685.4669230769232,49080.0,29.11952725266269,"Austin, TX"
61,884.0625589389869,2,1,149387.72306955062,18951.41129020809,3340.624238095238,469173.835148289,140.4449592977279,"Austin, TX"
62,884.389066392505,1,1,150205.0661925883,15540.064310435664,3668.76,497302.6593206578,135.55061092049024,"Austin, TX"
63,949.2660210226608,1,1,12757.73646012611,19781.276275071064,2846.062142857143,120907.0,42.48220661781554,"Austin, TX"
64,876.7659167968463,2,1,165888.80220929644,6981.49243263969,3037.730833333333,253299.6657509157,83.38449969675798,"Knoxville, TN"
65,1041.6444544172737,3,1,17922.522419235487,18680.64263340692,2609.8,76704.99833333334,29.3911404449894,"Austin, TX"
66,936.0015225524922,2,1,130552.72724461358,79798.81173263544,3761.86,741344.0075103431,197.06847344407905,"Bronx, NY"
67,931.5037185821018,2,1,129680.22621090645,71758.71358992507,3882.18,806795.6075103431,207.82024726064816,"Bronx, NY"
68,931.5690161587492,3,1,131350.53000910525,79902.89426632244,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
69,936.137864460153,2,1,130964.97629239428,79769.76853491904,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
70,931.5404528396912,3,1,128591.65233106838,79766.80935490235,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
71,876.7659167968463,2,1,165551.8313946557,6981.49243263969,3037.730833333333,253299.6657509157,83.38449969675798,"Knoxville, TN"
72,936.2307175694112,3,1,128389.34774313428,79706.34808209601,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
73,949.2660210226608,1,1,17817.559093789387,19781.276275071064,3036.917142857143,174704.0,57.52675880898016,"Austin, TX"
74,936.0015225524922,2,1,130552.72724461358,79798.81173263544,3761.86,741344.0075103431,197.06847344407905,"Bronx, NY"
75,936.137864460153,2,1,130964.97629239428,79769.76853491904,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
76,495.5075676438836,3,1,151672.6645110591,59071.42226333154,3323.976666666667,299982.1373579411,90.24796725145715,"Bronx, NY"
77,936.137864460153,2,1,130964.4302716068,79769.76853491904,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
78,931.5300215003768,2,1,130673.66983761106,80179.26666913164,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
79,931.5037185821018,2,1,131295.4028126207,71758.71358992507,3882.18,806795.6075103431,207.82024726064816,"Bronx, NY"
80,931.5037185821018,2,1,131297.0999075314,71758.71358992507,3882.18,806795.6075103431,207.82024726064816,"Bronx, NY"
81,884.0625589389869,2,1,149387.72306955062,18951.41129020809,3340.624238095238,469173.835148289,140.4449592977279,"Austin, TX"
82,936.7493669004936,1,1,125809.28611681552,73174.47742777987,3674.31,699202.7575103431,190.29498259818664,"Bronx, NY"
83,949.8325907434776,1,2,17779.80253632491,19781.276275071064,3036.917142857143,174704.0,57.52675880898016,"Austin, TX"
84,949.2660210226608,1,1,17779.80253632491,41336.925919321366,3069.4312857142863,286129.96,93.2192101291542,"Bronx, NY"
85,949.2660210226608,1,1,13870.92464528129,19781.276275071064,2846.062142857143,120907.0,42.48220661781554,"Austin, TX"
86,876.7659167968463,2,1,167219.91196191765,6981.49243263969,3037.730833333333,253299.6657509157,83.38449969675798,"Knoxville, TN"
87,495.5075676438836,3,1,151672.6645110591,59378.98458842384,3323.976666666667,299982.1373579411,90.24796725145715,"Bronx, NY"
88,931.5097917711884,2,1,130552.72724461358,79798.81173263544,3761.86,741344.0075103431,197.06847344407905,"Bronx, NY"
89,931.5037185821018,2,1,131295.4028126207,71758.71358992507,3882.18,806795.6075103431,207.82024726064816,"Bronx, NY"
90,931.5328700768208,3,1,131314.18913333263,80069.69689363732,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
91,931.5328700768208,3,1,131258.85137825238,64279.71314207998,3897.78,846703.789328525,217.22718812465683,"Bronx, NY"
92,936.3314630603946,3,1,128389.34774313428,79706.34808209601,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
93,931.5404528396912,3,1,128591.65233106838,79833.26103379007,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
94,936.137864460153,2,1,130964.97629239428,79769.76853491904,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
95,936.137864460153,2,1,130964.97629239428,79769.76853491904,3764.65,743488.457510343,197.4920530488473,"Bronx, NY"
96,936.7493669004936,1,1,125823.94605380748,73040.68785528657,3674.31,699202.7575103431,190.29498259818664,"Bronx, NY"
97,949.9333362344612,1,1,17779.80253632491,19781.276275071064,3036.917142857143,174704.0,57.52675880898016,"Austin, TX"
98,876.7659167968463,2,1,165888.80220929644,6981.49243263969,3037.730833333333,253299.6657509157,83.38449969675798,"Knoxville, TN"
99,543.1271988674226,2,1,12742.139765307324,19636.42815235446,1850.821666666667,58315.0,31.50762769328577,"Austin, TX"
