,sqfeet,beds,baths,income,density,rental,sale,TBE,city
0,364.9717586953132,1,1,11368.0,17302.2885118484,1269.290111111111,79941.5,62.98126748188468,"Austin, TX"
1,991.5678094056514,3,1,131177.2049184957,63534.66948004678,3904.336,934383.7152930404,239.319493837887,"New York, NY"
2,591.1184420852446,1,2,15599.61780466842,20561.874814385,1856.5239047619048,87928.5,47.36190025588528,"Philadelphia, PA"
3,1005.14369239805,5,4,57564.64852451418,23476.65283855946,3067.721571428571,383930.5,125.15167724990502,"Astoria, NY"
4,785.652709450058,2,1,159704.72535275342,57472.98190451978,3653.776,748699.1128548932,204.91105991579485,"New York, NY"
5,830.8322266950648,1,1,158603.05094464822,18763.57999748351,3114.709752380952,482604.0289017189,154.94349948106907,"San Francisco, CA"
6,1444.604378828191,2,2,11368.0,18110.267813685845,3034.692,239542.98132034636,78.93485774515052,"Philadelphia, PA"
7,567.9217401294594,1,1,11368.0,34532.53477782348,2101.484571428572,152524.995,72.57964063772057,"Bronx, NY"
8,696.1789375037927,2,1,19334.331007776025,45073.29445679394,2726.6530666666667,152703.9008497506,56.00415495339534,"Bronx, NY"
9,890.0077352978981,1,1,166985.0282314826,14890.05676177916,3608.892095238095,525675.9904468253,145.6613211407597,"San Francisco, CA"
10,872.1361121913326,1,1,178002.3829625175,16205.294495869544,3634.506761904762,529119.407113492,145.5821771084538,"Old Greenwich, CT"
11,1255.9907668990234,1,2,11368.0,19047.59153533323,2756.3816666666667,212993.61666666667,77.27290427244897,"Philadelphia, PA"
12,906.016285305186,2,1,147966.0973988615,77061.63597653444,3757.024,802874.865887647,213.6996904698099,"Long Island City, NY"
13,853.1730076727856,1,1,155664.52475333953,20691.783598331636,3112.4716761904765,451861.1776976268,145.17760311017008,"San Francisco, CA"
14,643.5336295921992,1,2,15670.510310926054,18370.273303745955,2009.3131428571432,107109.5,53.306524361700845,"Philadelphia, PA"
15,929.3673109349028,3,1,141866.53559718787,64754.24061412769,3862.992,890938.6157339822,230.6343413949556,"New York, NY"
16,904.5155921557928,2,1,165097.80770106503,76570.9060229533,3798.748,885580.6367878834,233.1243443334181,"New York, NY"
17,900.3666058299804,1,1,147780.13833608845,83859.2838747332,3706.588,779335.7633235444,210.25691642112488,"Long Island City, NY"
18,941.3412149227206,2,1,132056.74031373253,83878.51335873586,3719.968,785786.4846198871,211.2347430461464,"Long Island City, NY"
19,897.1828103127125,3,1,158577.9392885224,74811.29423372242,3820.672,890374.5150771593,233.04133803612535,"New York, NY"
