,sqfeet,beds,baths,income,density,rental,sale,TBE
0,1505.8462136241376,2,1,106903.87489142099,40689.13197953589,3935.364,1149000.0,291.9679094487829
1,809.2489163356122,1,1,18844.117630887427,8094.042881463881,1344.0056666666665,49019.5,36.47268848320829
2,1039.3359723182211,1,1,19989.308303382786,17872.13458480521,2675.7987666666672,78715.57972222222,29.417600719011045
3,1557.3163184684418,2,1,106903.87489142099,40689.13197953589,3921.544,1020645.0,260.2661094711675
4,1680.6580226327878,1,1,20175.244390610926,17452.484284489536,3802.724,371508.395,97.6953349756648
5,920.5084943433162,1,1,18715.890798498043,8681.105708294079,1806.888380952381,59350.331168831166,32.846705858802736
6,1037.909683448775,2,1,21210.457164250933,18819.445586638187,2614.345166666667,77111.35472222223,29.495475848179783
7,920.5084943433162,2,1,18895.238577299337,8484.864206023962,1683.4635111111108,59171.0,35.148370968222686
8,1448.873394737928,1,1,18165.8317293677,19341.17783193024,3526.136,227105.5,64.40633600065341
9,1366.856442328601,1,2,20217.67815233146,18536.694083450788,3445.054,175469.0,50.93359929916918
10,1151.1907208749826,1,1,20400.019269806744,17840.42326383609,3375.5926666666664,165036.0,48.89097005977617
11,978.2061488498406,1,1,11381.894991723664,18586.334289988416,2737.252619480519,114100.0,41.68413217982567
12,1531.7384044233127,1,1,20217.7140183908,17480.630757338142,3729.108,297368.695,79.74258053132277
13,1039.3359723182211,1,1,13899.332294544285,18830.52483341971,2864.4829,116292.7975,40.59818178701643
14,1039.3359723182211,1,1,18634.859962947692,18819.66635878599,2961.8803000000003,117881.7975,39.799649398390606
15,978.2061488498406,1,1,26236.309333017518,18561.425676093488,3068.792753246753,127744.5,41.626955702644814
16,1416.649352730955,1,2,20186.205968556635,18578.322716530016,3620.676,242606.5,67.00585746971008
17,1369.390470859743,1,2,29220.506139727193,18593.032667390646,3214.964,162910.63095238095,50.67261435971941
18,1616.7706482632311,1,1,19854.61221535721,17864.039120620208,3749.152,334644.445,89.25870303471292
19,1621.4481112580027,1,1,20191.095941191288,17449.536643865555,3789.604,354917.145,93.65547033410353
20,1448.873394737928,1,2,17691.964757192538,18827.85199347054,3542.772,229185.5,64.69101031621567
21,1012.9608461160456,1,2,18659.242577661313,17804.94437077304,3072.3808253968255,155198.495,50.51408136553343
22,1531.7384044233127,1,1,20217.7140183908,18835.72176027764,3665.742,272945.5,74.45845888772314
23,1624.7903669610546,1,1,20339.3109355382,18575.46822029696,3734.714,334119.945,89.46332838337823
24,1018.7590472425948,1,1,18634.440151506285,18440.942041709583,3136.5710634920633,158179.0,50.43054877382352
25,1039.3359723182211,1,1,19894.082127710863,18821.857323058517,2681.302166666667,79959.75472222222,29.821239738013695
26,1046.0535771759464,2,1,19968.799866441568,17872.95558885157,2688.2364333333335,106065.74962698414,39.45551377542553
27,1373.0736798983635,1,1,20210.460821071436,18640.731804669198,3422.696,173077.5,50.56759349939346
28,1530.5217035109863,1,1,20191.470909055,18534.294958281123,3687.556,288524.0,78.24260838343879
29,1419.8855769542126,1,1,20040.762010132617,18577.808371846466,3623.356,256139.0,70.69109411275072
30,1606.103151234541,1,1,19856.368214552527,17501.125590575655,3778.044,344521.445,91.19042684521409
31,1046.0535771759464,1,1,19766.31021281163,18153.452042320805,2689.4031,107014.51087698413,39.79117555006319
32,1604.1383161439642,1,1,20175.71553896598,17538.053582943863,3769.724,343518.945,91.12575482979656
33,1420.6380785265087,1,1,20012.89123876931,18536.52012153128,3627.966,258314.0,71.20077751555554
34,1021.1742058474788,1,1,18544.86457094126,18440.3344105398,3178.332920634921,158329.0,49.81510872321435
35,1531.7384044233127,1,1,20217.254130299047,18607.202702687984,3673.47,285869.5,77.82001758555263
36,1531.7384044233127,1,1,20217.7140183908,18578.652668917202,3687.366,286799.5,77.77896200160222
37,1422.1961502740207,1,1,20040.762010132617,17501.125590575655,3661.248,260122.0,71.04735871484259
38,1419.8855769542126,1,1,20158.95173012048,17501.125590575655,3656.388,259147.0,70.8751368837224
39,1021.2589909217637,1,2,19856.38341502037,18575.474681239953,3190.449587301587,161753.0,50.69912423747375
40,1369.9121591700043,1,2,20200.414753286273,18578.322716530016,3444.864,173494.5,50.36323640062423
41,1369.390470859743,1,1,29864.79837764518,18579.01275638524,3214.404,162230.13095238095,50.46973900990073
42,1023.2309354615236,1,1,18793.55501232216,18566.115620221353,3184.641587301587,159315.495,50.02619309979912
43,1464.2222371826404,1,1,18484.00291474206,19261.29302197992,3531.888,228215.5,64.61572394141604
44,1420.6380785265087,1,1,20012.89123876931,18566.39530513384,3627.776,256939.5,70.82562429433351
45,1021.1742058474788,1,2,18634.440151506285,18440.942041709583,3178.332920634921,158329.0,49.81510872321435
46,978.2061488498406,2,1,26236.309333017518,18561.425676093488,3068.792753246753,127744.5,41.626955702644814
47,1021.1742058474788,1,1,18634.440151506285,18440.942041709583,3178.332920634921,158329.0,49.81510872321435
48,1021.1742058474788,1,1,18634.440151506285,18443.685386532943,3178.332920634921,158329.0,49.81510872321435
49,1680.6580226327878,1,1,20175.71553896598,17473.159149893116,3802.724,371508.395,97.6953349756648
50,920.1670328814205,1,1,18733.434487810653,8681.105708294079,1806.888380952381,59350.331168831166,32.846705858802736
51,1037.909683448775,1,1,21210.457164250933,18819.445586638187,2614.345166666667,77111.35472222223,29.495475848179783
52,1448.873394737928,1,1,18133.871030887713,19341.17783193024,3526.136,227105.5,64.40633600065341
53,1366.856442328601,1,2,20217.67815233146,18536.694083450788,3445.054,175469.0,50.93359929916918
