,sqfeet,beds,baths,income,density,rental,sale,ROI
0,376.87814659027595,6,1,11368.0,21719.35664537714,1373.2433333333333,68907.0,50.178288382976554
1,4798.974266423233,2,2,230952.0,17083.320121175584,8750.46,4051923.9,463.05267380229157
2,2288.6597199385023,5,5,230952.0,20240.263772289727,7866.56,1196650.0,152.1185880486515
3,3041.9390060488204,4,2,203068.5754553898,18105.2240327508,8026.81,2169379.95,270.26676226296627
4,2019.2793715330586,1,1,195342.96782218365,106257.18877403384,8385.12,2819120.0,336.2050871066842
5,4543.211833259966,7,4,26755.587442157354,13296.294725001557,7674.26,487014.44,63.46076885588969
6,2667.8598703264056,7,5,12983.287773937167,7142.5410639239835,6245.25,384747.7,61.6064529042072
7,3651.0581069902228,7,4,26086.371244134545,12286.337622399877,5071.63,381019.44,75.12760986112946
8,3496.2247440672886,3,2,180492.62875876168,16290.036150570786,8014.59,2048048.14,255.53997646791663
9,2496.97399825849,6,4,205525.3804062059,18104.78207794342,8009.2,1338195.0,167.08223043499976
10,2724.6698923743616,7,4,11368.0,7736.458836431095,6515.25,431589.6,66.24298376885
11,4016.7017384898654,8,4,11368.0,10118.3859667806,7364.97,439659.88,59.69608565954783
12,2509.4022788494917,1,1,206706.37456950426,39305.28504302079,8587.22,3748639.74,436.5370562300722
13,2616.325299060831,8,2,11368.0,1.0,4110.2,235379.0,57.267042966279014
14,2688.4774780979183,2,2,192512.36867810928,77310.66701034967,8402.0,3277928.5965271406,390.13670513296125
15,744.0864028107608,2,1,11368.0,44528.53735192975,2904.113,128393.125,44.210788285442064
16,1985.6121722840244,6,3,42200.204656476904,13569.986775329631,4506.76,318627.3333333333,70.69986716251438
17,2063.4386402163123,2,1,174858.36327814782,84635.94577917567,8399.12,2843320.0,338.525940812847
18,1499.560027299985,7,1,11368.0,6235.545895013784,2268.0399999999995,121383.99,53.519333874182124
19,2096.8713758707418,1,2,182254.63726609753,45920.69690738604,8541.12,3351529.95,392.39935160728334
20,620.6080459291954,7,1,22163.70006447634,17592.615403180425,1613.773346153846,107799.25,66.79949836631096
21,709.3045256921943,1,1,12848.726698874245,53468.342693619175,3329.5733333333337,133371.3675429727,40.056594101037774
22,2550.0,6,4,39874.41760356873,7185.1,4758.36,366834.49941176473,77.09263263220201
23,1344.413485514429,6,1,13534.988368324626,21699.104947595424,2444.305,124654.87857142856,50.99808680644542
24,888.71057002281,2,1,23497.972991552946,49252.65058763622,3665.5301190476202,198125.0,54.05084491611733
25,2327.923275640839,2,1,197946.3317975305,50197.62185350558,8588.9,3901199.65,454.2141193866502
26,4272.8051451471565,1,2,230952.0,15550.184642655839,8675.46,3992713.9,460.2308004417057
27,5000.0,8,4,11368.0,11581.697536286596,7513.64,473614.88,63.034012808705235
28,2057.2924327613387,5,1,22041.529875304255,14276.453595893545,3508.52,184979.99,52.72308266733551
29,2503.378210183273,6,4,226670.77618323878,18740.59195739413,7901.61,1315485.0,166.48315976111198
30,2007.0812118661822,2,1,197652.63254360866,62907.06295450632,8527.12,3336463.6575924074,391.2767332455046
31,3113.6165008568782,4,1,214849.78264870678,17872.52214675607,8021.81,2112048.18,263.2882329549067
32,4537.970972281047,8,4,16018.180157371431,13457.55506756212,7603.54,486964.88,64.04449506414117
33,789.0884256984327,8,1,11368.0,8743.24319679039,1393.8877777777777,81494.0,58.46525186548575
34,920.0387749775331,1,1,11368.0,83918.98981851895,3552.6376190476203,187310.0,52.72420665584616
35,742.1928445026531,7,1,14337.573550392175,7537.785260431905,1507.9036380952382,95491.99,63.327647462024885
36,494.46745548902777,3,1,123837.79738968129,719.7428610664053,1515.93,103218.0,68.08889592527359
37,2419.7054003950875,5,5,224611.06915422136,21394.5354776635,7909.78,1334275.52,168.68680544844486
38,2562.9485713844597,6,4,180492.62875876168,20234.940001248448,7909.36,1323035.0,167.27459617465888
39,2501.4776996081673,6,4,227460.1882660379,18849.574443331432,7901.61,1315485.0,166.48315976111198
