,sqfeet,beds,baths,income,density,rental,sale,ROI
0,2956.600052821727,2,2,227876.50683755582,22453.601609556314,8788.02,1878085.9,213.709789008218
1,531.601192482295,1,1,11678.134516165213,19404.809247825066,1748.6467575757574,59677.0,34.12753304317072
2,4067.018714915879,6,2,19863.875324226567,12049.102073566131,7394.74,124492.96,16.835339714445674
3,358.16582089569715,7,1,27610.58379526921,14266.3424662793,2958.25,118048.71428571429,39.90491482657459
4,2271.589437628314,2,1,177897.0973402297,14010.620897489336,8521.74,788457.2133333333,92.52303089901045
5,2241.879977290428,2,2,172874.62541919033,15055.745694558002,8542.84,1325512.0466666666,155.16058438021392
6,3825.8127037148015,7,2,37794.74483359221,14325.0242479653,7892.22,249708.0,31.639766757642334
7,1993.9556360916213,2,2,197130.10161988664,10714.028612649812,8263.976666666666,509237.0,61.62130177037448
8,2067.327285255147,1,1,203732.92981283943,10753.683572721471,8150.676666666666,504987.0,61.95645105948259
9,2249.4715681361927,2,1,191390.0984895848,16173.143987429823,8683.85,1600922.0466666669,184.35625289090285
10,276.51387623054194,7,2,27610.58379526921,8403.632459631528,2087.88,77973.0,37.34553709983332
11,3216.8540782891882,2,1,227516.12236251574,22453.601609556314,8783.02,1814085.86,206.5446577600871
12,4067.018714915879,6,2,19863.875324226567,11655.867187587603,7428.16,153282.99,20.635391537069744
13,404.3550146723553,7,1,29729.318466196666,14278.356958505246,2814.8444444444444,98536.71428571429,35.00609580049534
14,3206.801723943891,2,2,203378.3133170781,13362.486366958055,8638.94,1431207.7,165.66936452851854
15,3044.7861568684098,2,2,194667.7327183148,14032.526959423907,8643.94,1495207.74,172.97757041349197
16,122.90246088235881,7,1,28647.42731763939,14300.106614458557,2866.84,107221.71428571429,37.400662152653894
17,2934.3646291362866,2,2,227112.956992319,14007.054217103954,8643.94,1495207.74,172.97757041349197
18,3015.365664214762,2,2,203825.7410995799,13638.9294618143,8643.94,1495207.74,172.97757041349197
19,3170.4123207970933,1,1,195630.13444087046,13632.045122703337,8638.94,1431207.7,165.66936452851854
20,3206.801723943891,2,2,186221.63542740006,13362.486366958055,8638.94,1431207.7,165.66936452851854
21,2924.6432823984073,2,1,195824.43088046656,13771.63930791817,8643.94,1495207.74,172.97757041349197
22,2921.3558313755907,2,2,194520.78587223863,13362.486366958055,8643.94,1495207.74,172.97757041349197
23,3028.647340279781,2,2,161987.11895628698,22614.86396023316,8788.02,1878085.9,213.709789008218
24,2913.4360011705844,1,1,218106.5133808859,14006.233080558455,8643.94,1495207.74,172.97757041349197
25,3009.0420008456917,1,1,178540.42736062125,13864.151293190695,8643.94,1495207.74,172.97757041349197
26,3170.876096053327,1,2,217440.29074907038,13825.39097553285,8638.94,1431207.7,165.66936452851854
27,2909.791597393953,1,2,205564.94097268343,13637.903181470188,8643.94,1495207.74,172.97757041349197
28,3008.739414026518,1,1,221706.0062388216,14006.233080558455,8643.94,1495207.74,172.97757041349197
29,2920.0622513588287,1,1,188786.3636213984,13635.591980827669,8643.94,1495207.74,172.97757041349197
30,2909.707049406344,1,2,202070.6846924274,13393.832354270844,8643.94,1495207.74,172.97757041349197
31,3015.365664214762,1,1,186469.10001380788,13632.2430872666,8643.94,1495207.74,172.97757041349197
32,3014.7457271362455,1,2,169490.97908320214,13335.895436166264,8643.94,1495207.74,172.97757041349197
33,3209.949255129976,2,2,207909.67088164,13870.09695758652,8638.94,1431207.7,165.66936452851854
34,3017.7149025024946,1,1,171745.4359800426,13746.68940760256,8643.94,1495207.74,172.97757041349197
35,2913.4360011705844,1,2,202070.6846924274,14023.499400794642,8643.94,1495207.74,172.97757041349197
36,3001.3009053299415,1,1,182217.88454722823,14001.31722810065,8643.94,1495207.74,172.97757041349197
37,3234.2843047328083,2,2,186185.94386539797,13363.709165295537,8638.94,1431207.7,165.66936452851854
38,3033.2244220235684,1,1,199992.36656587562,14015.930833494967,8643.94,1495207.74,172.97757041349197
39,3029.0318069878335,1,2,188798.51295628253,13635.591980827669,8643.94,1495207.74,172.97757041349197
40,3030.0153923709727,1,1,189902.94517323741,13889.86378220662,8643.94,1495207.74,172.97757041349197
41,2934.3646291362866,2,1,226918.18790700214,14007.054217103954,8643.94,1495207.74,172.97757041349197
42,2934.3646291362866,2,2,226360.29145845733,14007.054217103954,8643.94,1495207.74,172.97757041349197
43,3015.365664214762,1,1,203825.7410995799,13632.2430872666,8643.94,1495207.74,172.97757041349197
44,3009.0420008456917,1,1,186840.32005968675,13864.151293190695,8643.94,1495207.74,172.97757041349197
45,3028.647340279781,1,2,227949.41130894,22453.601609556314,8788.02,1878085.9,213.709789008218
46,3023.5288351794957,2,1,185234.92882053021,13863.313166918564,8643.94,1495207.74,172.97757041349197
47,3209.949255129976,2,2,207909.67088164,13871.23839654086,8638.94,1431207.7,165.66936452851854
48,3040.2703191117857,2,2,178147.20988579426,14062.673890913564,8643.94,1495207.74,172.97757041349197
49,2938.475229239636,1,1,184443.20420806584,14015.930833494967,8643.94,1495207.74,172.97757041349197
50,3030.229733462512,1,1,192909.06345460017,14011.706440593383,8643.94,1495207.74,172.97757041349197
51,3234.2270813253854,1,2,186144.12379371707,13362.486366958055,8638.94,1431207.7,165.66936452851854
52,2938.475229239636,1,1,178147.20988579426,13781.693983525633,8643.94,1495207.74,172.97757041349197
53,2941.5311050263026,2,2,206005.20521803238,14007.054217103954,8643.94,1495207.74,172.97757041349197
54,3001.875524955676,1,1,186840.32005968675,13864.151293190695,8643.94,1495207.74,172.97757041349197
