,sqfeet,beds,baths,income,density,ROI,rental,sale
0,663.2427753909105,1,1,13894.877580396573,89622.64888535057,22.10304213259393,3289.14,72700.0
1,662.3205194550821,1,1,13870.191444472433,89485.58394386715,22.10304213259393,3289.14,72700.0
2,663.8584405890047,1,1,13876.331197943433,89490.67599733853,22.10304213259393,3289.14,72700.0
3,662.9548073978102,1,1,13875.316690214851,89503.15431178748,22.10304213259393,3289.14,72700.0
4,662.615538564052,1,1,13864.165730920475,89465.92498932872,22.10304213259393,3289.14,72700.0
5,664.1833884373284,1,1,13912.88383959297,89596.94406091851,22.10304213259393,3289.14,72700.0
6,662.5707154385344,1,1,13871.506353252835,89526.7216141541,22.10304213259393,3289.14,72700.0
7,664.312643853941,1,1,13878.856634544847,89482.07223340118,22.10304213259393,3289.14,72700.0
8,662.3874696560424,1,1,13881.979452937274,89600.16367752985,22.10304213259393,3289.14,72700.0
9,664.8465109503236,1,1,13885.59342207991,89495.6358431213,22.10304213259393,3289.14,72700.0
10,664.3484131687013,1,1,13880.618656384671,89490.16043502443,22.10304213259393,3289.14,72700.0
11,663.5848673521651,1,1,13888.467025680742,89563.14701320526,22.10304213259393,3289.14,72700.0
12,662.557286632077,1,1,13870.246025438562,89512.06871395807,22.10304213259393,3289.14,72700.0
13,663.3475945966729,1,1,13888.11944855522,89584.19636138079,22.10304213259393,3289.14,72700.0
14,662.4728057923318,1,1,13865.065836045862,89479.08928156742,22.10304213259393,3289.14,72700.0
15,662.2328359035852,1,1,13857.218309890251,89591.82615444067,22.10304213259393,3289.14,72700.0
16,662.7935390174581,1,1,13885.765219087014,89599.63908589938,22.10304213259393,3289.14,72700.0
17,662.7826368045498,1,1,13884.43767160963,89591.46633619844,22.10304213259393,3289.14,72700.0
18,664.4591299764764,1,1,13883.199956605265,89456.78847392846,22.10304213259393,3289.14,72700.0
19,662.6108666371294,1,1,13864.925801386391,89472.22161306064,22.10304213259393,3289.14,72700.0
20,662.4323750970549,1,1,13876.563263151755,89566.45483285896,22.10304213259393,3289.14,72700.0
21,663.5880933317303,1,1,13897.231071243432,89619.32713607035,22.10304213259393,3289.14,72700.0
22,662.6543095742483,1,1,13869.054606516573,89481.81066260564,22.10304213259393,3289.14,72700.0
23,664.1672797120916,1,1,13889.27999488471,89476.20356498688,22.10304213259393,3289.14,72700.0
24,662.981174184724,1,1,13877.175482629174,89528.42468898467,22.10304213259393,3289.14,72700.0
25,663.5183715912536,1,1,13894.615151023505,89606.85128527289,22.10304213259393,3289.14,72700.0
26,664.9563239014227,1,1,13892.595319062739,89496.29065088631,22.10304213259393,3289.14,72700.0
27,662.6598314208068,1,1,13863.697312512128,89477.22024722847,22.10304213259393,3289.14,72700.0
28,664.6718423996601,1,1,13891.448163785108,89461.15213524061,22.10304213259393,3289.14,72700.0
29,662.7149809533817,1,1,13868.753214261851,89491.70831856105,22.10304213259393,3289.14,72700.0
30,662.6446424045243,1,1,13862.304840619558,89473.23001302163,22.10304213259393,3289.14,72700.0
31,662.6323341919675,1,1,13865.647609805057,89475.51140918616,22.10304213259393,3289.14,72700.0
32,663.65641323331,1,1,13898.974369265743,89627.13955804137,22.10304213259393,3289.14,72700.0
33,662.498727118807,1,1,13871.606765636645,89531.9182568079,22.10304213259393,3289.14,72700.0
34,662.3250277377535,1,1,13855.54397537584,89429.51694154287,22.10304213259393,3289.14,72700.0
35,664.3208756643096,1,1,13885.229465008822,89517.58723199545,22.10304213259393,3289.14,72700.0
36,662.6321478808355,1,1,13881.723547609497,89584.22104844984,22.10304213259393,3289.14,72700.0
37,661.8877158962616,1,1,13890.913711050705,89617.16261841792,22.10304213259393,3289.14,72700.0
38,662.645744906668,1,1,13870.832274028677,89509.61829084074,22.10304213259393,3289.14,72700.0
39,662.985656567039,1,1,13893.755842028599,89470.74969958402,22.10304213259393,3289.14,72700.0
40,662.5341326793086,1,1,13860.67008194821,89468.27677008184,22.10304213259393,3289.14,72700.0
41,662.8047716189275,1,1,13891.21977540008,89635.11656494139,22.10304213259393,3289.14,72700.0
42,663.4045759786704,1,1,13888.422053457363,89585.05899808618,22.10304213259393,3289.14,72700.0
43,662.6595950213604,1,1,13872.231673508442,89518.05433967646,22.10304213259393,3289.14,72700.0
44,664.072060320966,1,1,13880.433397462271,89501.36078201282,22.10304213259393,3289.14,72700.0
45,664.6280960979404,1,1,13904.254210174287,89608.99930869875,22.10304213259393,3289.14,72700.0
46,662.5665130799543,1,1,13870.425096564088,89512.60851391085,22.10304213259393,3289.14,72700.0
47,662.3563770836624,1,1,13880.919809013409,89595.42202228564,22.10304213259393,3289.14,72700.0
48,662.3890209384764,1,1,13868.93624988885,89515.75778371461,22.10304213259393,3289.14,72700.0
49,664.3158956098283,1,1,13879.016818348467,89482.80752445784,22.10304213259393,3289.14,72700.0
50,664.2826197275829,1,1,13879.180728570733,89487.26949416255,22.10304213259393,3289.14,72700.0
51,662.4988053999036,1,1,13871.995312131385,89534.25162563274,22.10304213259393,3289.14,72700.0
52,664.3558318758706,1,1,13904.78743993859,89563.63387148193,22.10304213259393,3289.14,72700.0
53,664.2090976572536,1,1,13882.607806073413,89548.53207054443,22.10304213259393,3289.14,72700.0
54,662.9848899446696,1,1,13895.3348193134,89635.3390387481,22.10304213259393,3289.14,72700.0
55,662.5479328666466,1,1,13874.700675215969,89553.34317789692,22.10304213259393,3289.14,72700.0
56,663.3385377361293,1,1,13886.975029204144,89535.24030383411,22.10304213259393,3289.14,72700.0
57,664.254554722221,1,1,13881.34264705465,89496.89440057502,22.10304213259393,3289.14,72700.0
58,663.9057179339061,1,1,13873.844465683134,89474.32413179679,22.10304213259393,3289.14,72700.0
